Code,Name,Geography,Mid-2024,,,,,,,,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011
E10000019,Lincolnshire,County,"789,502",,,,,,,,"746,141","738,351","732,981","725,901","719,807","714,768"
E07000136,Boston,Non-metropolitan District,"71,080",,,,,,,,"68,589","67,586","67,142","66,612","65,264","64,615"
E07000137,East Lindsey,Non-metropolitan District,"145,183",,,,,,,,"138,488","137,753","137,342","136,399","136,431","136,683"
E07000138,Lincoln,Non-metropolitan District,"105,114",,,,,,,,"100,679","99,442","98,482","97,452","95,501","93,085"
E07000139,North Kesteven,Non-metropolitan District,"122,468",,,,,,,,"113,063","111,665","110,746","109,654","109,139","108,518"
E07000140,South Holland,Non-metropolitan District,"99,298",,,,,,,,"91,970","90,802","89,914","89,046","88,502","88,390"
E07000141,South Kesteven,Non-metropolitan District,"147,151",,,,,,,,"140,409","138,915","138,082","136,342","135,092","134,125"
E07000142,West Lindsey,Non-metropolitan District,"99,208",,,,,,,,"92,943","92,188","91,273","90,396","89,878","89,352"
E10000024,Nottinghamshire,County,"857,013",,,,,,,,"807,422","802,650","799,367","795,119","789,611","786,796"
E07000170,Ashfield,Non-metropolitan District,"129,572",,,,,,,,"123,989","123,115","122,199","121,352","119,990","119,522"
E07000171,Bassetlaw,Non-metropolitan District,"124,937",,,,,,,,"114,879","114,393","114,026","113,577","113,248","113,003"
E07000172,Broxtowe,Non-metropolitan District,"114,565",,,,,,,,"110,346","110,398","110,527","110,470","110,300","109,749"
E07000173,Gedling,Non-metropolitan District,"120,179",,,,,,,,"116,418","115,977","115,840","114,963","114,062","113,741"
E07000174,Mansfield,Non-metropolitan District,"113,138",,,,,,,,"108,952","107,510","106,514","105,771","104,995","104,551"
E07000175,Newark and Sherwood,Non-metropolitan District,"127,886",,,,,,,,"119,388","118,248","117,638","116,670","115,773","114,982"
E07000176,Rushcliffe,Non-metropolitan District,"126,736",,,,,,,,"113,450","113,009","112,623","112,316","111,243","111,248"
E12000005,WEST MIDLANDS,Region,"6,187,204",,,,,,,,"5,812,248","5,756,287","5,716,882","5,676,945","5,640,325","5,608,667"
E06000019,"Herefordshire, County of",Unitary Authority,"191,047",,,,,,,,"186,225","185,778","185,523","184,748","184,208","183,619"
E06000051,Shropshire,Unitary Authority,"332,455",,,,,,,,"312,836","310,751","309,436","308,181","307,921","307,108"
E06000021,Stoke-on-Trent,Unitary Authority,"270,425",,,,,,,,"256,168","254,095","253,316","251,568","250,322","248,719"
E06000020,Telford and Wrekin,Unitary Authority,"195,952",,,,,,,,"175,352","172,898","170,610","169,014","167,964","166,831"
E10000028,Staffordshire,County,"907,153",,,,,,,,"861,230","857,167","856,391","854,573","850,682","849,546"
E07000192,Cannock Chase,Non-metropolitan District,"104,088",,,,,,,,"97,312","97,502","97,703","97,578","97,537","97,582"
E07000193,East Staffordshire,Non-metropolitan District,"129,659",,,,,,,,"118,986","117,657","116,812","115,724","114,853","113,858"
E07000194,Lichfield,Non-metropolitan District,"111,932",,,,,,,,"102,624","102,430","101,910","101,808","101,286","100,911"
E07000195,Newcastle-under-Lyme,Non-metropolitan District,"127,727",,,,,,,,"125,367","123,919","124,162","123,872","123,132","123,878"
E07000196,South Staffordshire,Non-metropolitan District,"114,423",,,,,,,,"109,814","109,704","109,886","109,840","108,331","108,318"
E07000197,Stafford,Non-metropolitan District,"141,556",,,,,,,,"132,507","131,221","131,312","131,485","131,324","130,895"
E07000198,Staffordshire Moorlands,Non-metropolitan District,"96,651",,,,,,,,"96,932","97,102","97,235","96,958","96,936","97,209"
E07000199,Tamworth,Non-metropolitan District,"81,117",,,,,,,,"77,688","77,632","77,371","77,308","77,283","76,895"
E10000031,Warwickshire,County,"632,207",,,,,,,,"566,625","561,471","557,454","553,178","550,276","546,554"
E07000218,North Warwickshire,Non-metropolitan District,"67,117",,,,,,,,"62,908","62,681","62,292","62,057","62,099","62,089"
E07000219,Nuneaton and Bedworth,Non-metropolitan District,"141,565",,,,,,,,"129,899","128,588","127,980","127,275","126,438","125,409"
E07000220,Rugby,Non-metropolitan District,"122,378",,,,,,,,"107,555","106,327","104,734","102,851","101,509","100,496"
E07000221,Stratford-on-Avon,Non-metropolitan District,"146,258",,,,,,,,"123,729","122,850","122,142","121,548","121,005","120,824"
E07000222,Warwick,Non-metropolitan District,"154,889",,,,,,,,"142,534","141,025","140,306","139,447","139,225","137,736"
E11000005,West Midlands (Met County),Metropolitan County,"3,036,605",,,,,,,,"2,865,850","2,831,662","2,805,420","2,781,813","2,758,833","2,739,733"
E08000025,Birmingham,Metropolitan District,"1,183,618",,,,,,,,"1,131,271","1,114,932","1,103,724","1,094,531","1,084,661","1,074,283"
E08000026,Coventry,Metropolitan District,"369,026",,,,,,,,"337,064","331,112","325,066","322,146","318,141","316,915"
E08000027,Dudley,Metropolitan District,"331,930",,,,,,,,"317,669","316,393","315,700","314,460","313,631","313,261"
E08000028,Sandwell,Metropolitan District,"353,860",,,,,,,,"330,051","325,911","321,610","317,499","312,710","309,042"
E08000029,Solihull,Metropolitan District,"221,242",,,,,,,,"213,061","211,697","211,205","209,115","207,729","206,856"
E08000030,Walsall,Metropolitan District,"295,678",,,,,,,,"278,429","275,490","273,764","271,704","270,517","269,524"
E08000031,Wolverhampton,Metropolitan District,"281,251",,,,,,,,"258,305","256,127","254,351","252,358","251,444","249,852"
E10000034,Worcestershire,County,"621,360",,,,,,,,"587,962","582,465","578,732","573,870","570,119","566,557"
E07000234,Bromsgrove,Non-metropolitan District,"101,685",,,,,,,,"96,254","95,440","95,380","94,530","94,179","93,732"
E07000235,Malvern Hills,Non-metropolitan District,"83,227",,,,,,,,"76,391","76,024","76,208","75,454","75,116","74,706"
E07000236,Redditch,Non-metropolitan District,"87,847",,,,,,,,"86,432","85,866","85,266","85,072","84,667","84,318"
E07000237,Worcester,Non-metropolitan District,"106,671",,,,,,,,"104,696","103,093","102,267","101,295","100,082","98,679"
E07000238,Wychavon,Non-metropolitan District,"138,017",,,,,,,,"123,632","121,990","120,170","118,841","117,858","117,074"
E07000239,Wyre Forest,Non-metropolitan District,"103,913",,,,,,,,"100,557","100,052","99,441","98,678","98,217","98,048"
E12000006,EAST,Region,"6,576,306",,,,,,,,"6,161,075","6,098,262","6,039,521","5,970,484","5,915,033","5,862,418"
E06000055,Bedford,Unitary Authority,"194,976",,,,,,,,"173,703","170,149","166,856","163,672","160,344","157,840"
E06000056,Central Bedfordshire,Unitary Authority,"315,877",,,,,,,,"274,909","270,962","267,066","263,425","259,524","255,644"
E06000032,Luton,Unitary Authority,"239,090",,,,,,,,"220,952","217,612","213,749","209,624","205,873","203,641"
E06000031,Peterborough,Unitary Authority,"223,655",,,,,,,,"205,091","200,246","195,766","192,488","188,675","184,457"
E06000033,Southend-on-Sea,Unitary Authority,"185,256",,,,,,,,"180,465","179,203","178,610","176,350","175,196","174,274"
E06000034,Thurrock,Unitary Authority,"180,989",,,,,,,,"168,977","166,622","164,451","161,702","160,026","158,268"
E10000003,Cambridgeshire,County,"710,317",,,,,,,,"657,286","651,011","643,025","634,996","628,779","622,312"
E07000008,Cambridge,Non-metropolitan District,"149,352",,,,,,,,"136,054","133,654","130,432","127,819","124,679","122,725"
E07000009,East Cambridgeshire,Non-metropolitan District,"92,906",,,,,,,,"86,952","86,757","86,316","85,483","85,101","84,245"
E07000010,Fenland,Non-metropolitan District,"104,896",,,,,,,,"101,075","99,991","98,571","97,556","96,429","95,461"
E07000011,Huntingdonshire,Non-metropolitan District,"190,619",,,,,,,,"176,425","175,647","174,283","172,540","171,437","170,039"
E07000012,South Cambridgeshire,Non-metropolitan District,"172,544",,,,,,,,"156,780","154,962","153,423","151,598","151,133","149,842"
E10000012,Essex,County,"1,563,365",,,,,,,,"1,460,525","1,447,710","1,436,516","1,418,900","1,407,607","1,396,599"
E07000066,Basildon,Non-metropolitan District,"193,632",,,,,,,,"184,651","182,734","181,317","178,944","176,622","174,971"
E07000067,Braintree,Non-metropolitan District,"164,304",,,,,,,,"151,848","150,908","150,314","149,285","148,443","147,514"
E07000068,Brentwood,Non-metropolitan District,"79,326",,,,,,,,"77,163","76,690","76,193","74,912","74,255","73,841"
